text,id
B.BARIA,111
BAGERHAT,112
BANDARBAN,113
BARGUNA,114
BARISAL,115
BARISAL METRO,116
BHOLA,117
BOGRA,118
CHANDPUR,119
CHATTA-METRO,120
CHATTA METRO,120
CHITTAGONG,121
CHUADANGA,123
COMILLA,124
COXSBAZAR,125
DHAKA,126
DHAKA-METRO,127
DHAKA METRO,127
DINAJPUR,128
FARIDPUR,129
FENI,130
GAIBANDA,131
GAIBANDHA,132
GAZIPUR,133
GOPALGANJ,134
HABIGONG,135
JAIPURHAT,136
JESSORE,137
JHALAKATI,138
JHENIDAH,139
JHENIDHA,140
KHAGRACHARI,141
KHULNA,142
KHULNA-METRO,142
KHULNA METRO,142
KISHOREGANJ,143
KURIGRAM,144
KUSHTIA,145
LAKSHMIPUR,146
LAXMIPUR,147
LALMONIRHAT,148
MADARIPUR,149
MAGURA,150
MANIKGANJ,151
MEHERPUR,152
MOULAVIBAZAR,153
MOULVIBAZAR,154
MUNSHIGANJ,155
MYMENSINGH,156
NAOGAON,157
NARAIL,158
NARAYANGANJ,159
NARSINGDI,160
NATOR,161
NATORE,162
NAWABGANJ,163
NETRAKONA,164
NILPHAMARI,165
NOAKHALI,166
PABNA,167
PANCHAGAR,168
PATUAKHALI,169
POTUAKHALI,170
PIROJPUR,171
RAJBARI,172
RAJ-METRO,173
RAJ METRO,173
RAJSHAHI,174
RANGAMATI,175
RANGPUR,176
SATKHIRA,177
SHARIATPUR,178
SHERPUR,179
SIRAJGONG,180
SIRAJGONJ,181
SUNAMGONJ,182
SYLHET,183
SYLHET-METRO,184
SYLHET METRO,184
TANGAIL,185
THAKURGAON,186